,,Hokuriku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokuriku
2023/01/03,19:00,0,2373,644,0,116,0,55,0,99,0,-183,0,0,3105,23.98
2023/01/03,20:00,0,2495,519,0,116,0,52,0,14,0,-138,0,0,3058,23.52
2023/01/03,21:00,0,2517,430,0,117,0,41,0,0,0,-155,0,0,2951,22.48
2023/01/03,22:00,0,2555,347,0,116,0,41,0,0,0,-176,0,0,2883,21.58
2023/01/03,23:00,0,2767,394,0,116,0,33,0,0,0,-369,0,0,2941,20.6
2023/01/04,00:00,0,2712,438,0,117,0,35,0,0,0,-412,0,0,2889,21.25
2023/01/04,01:00,0,2682,500,0,116,0,30,0,0,0,-370,0,0,2958,20.56
2023/01/04,02:00,0,2733,591,0,117,0,26,0,0,0,-338,0,0,3129,19.9
2023/01/04,03:00,0,2825,660,0,117,0,16,0,0,0,-395,0,0,3223,19.83
2023/01/04,04:00,0,2843,631,0,117,0,15,0,0,0,-410,0,0,3196,18.92
2023/01/04,05:00,0,2641,665,0,116,0,17,0,0,0,-325,0,0,3115,20.56
2023/01/04,06:00,0,2591,713,0,116,0,19,0,3,0,-321,0,0,3121,21.84
2023/01/04,07:00,0,2673,571,0,116,9,13,0,99,0,-255,0,0,3226,24.87
2023/01/04,08:00,0,2637,559,0,116,44,17,0,0,30,0,0,0,3403,22.46
2023/01/04,09:00,0,2408,481,0,115,84,12,0,0,449,0,0,0,3549,18.83
2023/01/04,10:00,0,2208,447,0,116,172,16,0,0,500,0,0,0,3459,18.54
2023/01/04,11:00,0,1925,422,0,116,214,35,0,0,579,0,0,0,3290,14.03
2023/01/04,12:00,0,2138,445,0,116,127,57,0,0,422,0,0,0,3306,13.01
2023/01/04,13:00,0,2150,415,0,116,81,69,0,0,541,0,0,0,3373,17.46
2023/01/04,14:00,0,2144,413,0,116,63,74,0,0,613,0,0,0,3424,17.68
2023/01/04,15:00,0,2308,447,0,116,27,78,0,0,470,0,0,0,3446,17.62
2023/01/04,16:00,0,2765,544,0,115,3,86,0,3,39,0,0,0,3555,21.66
2023/01/04,17:00,0,3106,626,0,115,0,88,0,99,0,-309,0,0,3725,22.56
2023/01/04,18:00,0,3119,722,0,115,0,78,0,100,0,-443,0,0,3691,23.02
2023/01/04,19:00,0,3027,806,0,115,0,73,0,99,0,-527,0,0,3594,22.87
2023/01/04,20:00,0,3018,738,0,115,0,78,0,2,0,-462,0,0,3491,21.83
2023/01/04,21:00,0,3001,614,0,115,0,81,0,0,0,-431,0,0,3379,21.92
2023/01/04,22:00,0,2909,443,0,115,0,74,0,0,0,-291,0,0,3249,21.71
2023/01/04,23:00,0,2785,418,0,115,0,55,0,0,0,-75,0,0,3298,19.6
2023/01/05,00:00,0,2945,419,0,115,0,51,0,0,0,-272,0,0,3258,20.43
2023/01/05,01:00,0,3167,453,0,115,0,42,0,0,0,-444,0,0,3332,17.66
2023/01/05,02:00,0,3219,509,0,115,0,40,0,0,0,-401,0,0,3482,20.33
2023/01/05,03:00,0,3183,570,0,115,0,40,0,0,0,-328,0,0,3579,21.29
2023/01/05,04:00,0,3140,539,0,115,0,41,0,0,0,-259,0,0,3575,21.27
2023/01/05,05:00,0,3180,518,0,114,0,37,0,0,0,-303,0,0,3546,20.57
2023/01/05,06:00,0,3215,507,0,115,0,31,0,26,0,-253,0,0,3640,21.83
2023/01/05,07:00,0,3215,633,0,115,10,31,0,98,0,-308,0,0,3794,25.6
2023/01/05,08:00,0,3270,765,0,113,61,27,0,0,0,-84,0,0,4152,22.7
2023/01/05,09:00,0,3112,725,0,115,157,19,0,0,207,0,0,0,4334,20.41
2023/01/05,10:00,0,2924,585,0,114,250,16,0,0,392,0,0,0,4282,20.16
2023/01/05,11:00,0,2574,434,0,114,311,17,0,0,693,0,0,0,4142,17.7
2023/01/05,12:00,0,2641,407,0,114,269,19,0,0,476,0,0,0,3925,13.2
2023/01/05,13:00,0,2739,435,0,113,281,25,0,0,389,0,0,0,3983,18.81
2023/01/05,14:00,0,2822,483,0,114,184,26,0,0,350,0,0,0,3979,20.66
2023/01/05,15:00,0,3098,538,0,113,94,16,0,1,96,0,0,0,3956,21.53
2023/01/05,16:00,0,3365,710,0,115,15,7,0,74,0,-236,0,0,4049,23.74
2023/01/05,17:00,0,3416,806,0,114,0,5,0,99,0,-362,0,0,4079,26.51
2023/01/05,18:00,0,3452,986,0,115,0,4,0,99,0,-591,0,0,4065,25.48
2023/01/05,19:00,0,3454,937,0,114,0,3,0,99,0,-677,0,0,3930,24.26
2023/01/05,20:00,0,3453,665,0,115,0,2,0,7,0,-432,0,0,3810,22.44
2023/01/05,21:00,0,3372,448,0,115,0,6,0,0,0,-263,0,0,3677,21.62
2023/01/05,22:00,0,3234,393,0,115,0,6,0,0,0,-202,0,0,3545,21.86
