,,Kyushu,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kyushu
2023/04/20,19:00,3227,4943,934,152,403,0,149,0,894,0,-1418,0,0,9284,13.99
2023/04/20,20:00,3230,4953,820,153,403,0,155,0,645,0,-1486,0,0,8873,13.13
2023/04/20,21:00,3233,4908,721,153,404,0,148,0,344,0,-1498,0,0,8413,10.96
2023/04/20,22:00,3232,4905,593,153,405,0,121,0,286,0,-1566,0,0,8129,9.87
2023/04/20,23:00,3232,4781,441,153,406,0,117,0,131,0,-1390,0,0,7871,9.78
2023/04/21,00:00,3231,4436,362,153,409,0,104,-13,0,0,-1294,0,0,7388,10.67
2023/04/21,01:00,3231,4368,326,154,404,0,87,-13,0,0,-1324,0,0,7233,10.23
2023/04/21,02:00,3230,4724,344,154,404,0,91,0,48,0,-1418,0,0,7577,10.59
2023/04/21,03:00,3232,4754,597,154,408,0,91,0,271,0,-1388,0,0,8119,10.97
2023/04/21,04:00,3230,4424,849,153,409,0,94,0,309,0,-1008,0,0,8460,10.8
2023/04/21,05:00,3231,4595,755,154,410,0,93,0,128,0,-980,0,0,8386,10.69
2023/04/21,06:00,3231,4279,602,153,406,258,91,0,5,0,-1004,0,0,8021,10.32
2023/04/21,07:00,3230,3117,502,153,402,1093,112,-115,0,0,-608,0,0,7886,7.92
2023/04/21,08:00,3231,2780,375,152,377,1890,108,-243,0,0,-277,0,0,8393,3.5
2023/04/21,09:00,3229,2399,318,152,335,3142,118,-642,0,0,-236,0,0,8815,0.51
2023/04/21,10:00,3231,2387,344,151,334,4127,147,-1626,0,0,-103,0,0,8992,0.01
2023/04/21,11:00,3230,2629,334,151,336,4391,133,-140,0,0,-2100,0,0,8964,0.01
2023/04/21,12:00,3230,2394,351,151,337,4678,145,-501,0,0,-2142,0,0,8643,0.01
2023/04/21,13:00,3232,2440,335,151,337,5018,163,-520,0,0,-2108,0,0,9048,0.01
2023/04/21,14:00,3229,2879,330,151,344,4240,172,-204,0,0,-2094,0,0,9047,0.01
2023/04/21,15:00,3230,3590,327,151,346,3230,173,-141,0,0,-1758,0,0,9148,0.01
2023/04/21,16:00,3230,3795,378,151,391,2231,173,-693,0,0,-636,0,0,9020,1.51
2023/04/21,17:00,3230,4723,624,151,420,1167,170,-31,0,0,-1350,0,0,9104,8.12
2023/04/21,18:00,3226,5169,945,151,432,217,187,0,387,0,-1564,0,0,9150,14
2023/04/21,19:00,3230,5168,983,151,432,0,203,0,574,0,-1594,0,0,9147,13.96
2023/04/21,20:00,3231,5168,818,152,431,0,216,0,275,0,-1522,0,0,8769,13.8
2023/04/21,21:00,3231,4884,704,152,432,0,199,0,147,0,-1414,0,0,8335,11.67
2023/04/21,22:00,3232,4679,549,152,429,0,178,0,99,0,-1250,0,0,8068,10.47
2023/04/21,23:00,3232,4527,436,152,432,0,175,0,13,0,-1198,0,0,7769,10.72
2023/04/22,00:00,3231,4555,340,152,430,0,191,0,10,0,-1648,0,0,7261,12.07
2023/04/22,01:00,3231,4229,318,152,430,0,218,-6,0,0,-1482,0,0,7090,11.26
2023/04/22,02:00,3232,4044,335,152,429,0,226,0,357,0,-1392,0,0,7383,11.29
2023/04/22,03:00,3230,4129,577,153,433,0,235,0,894,0,-1676,0,0,7975,12.38
2023/04/22,04:00,3228,4127,744,154,431,0,235,0,989,0,-1608,0,0,8300,12.4
2023/04/22,05:00,3229,3868,637,153,430,8,224,0,1066,0,-1404,0,0,8211,12.38
2023/04/22,06:00,3231,2995,468,154,422,626,203,0,947,0,-1410,0,0,7636,7.5
2023/04/22,07:00,3231,2370,358,154,380,2494,202,-410,0,0,-1496,35,0,7283,0.01
2023/04/22,08:00,3230,1936,330,155,365,4011,202,-1008,0,0,-1762,769,0,7459,0.01
2023/04/22,09:00,3231,2004,300,155,365,4406,180,-1043,0,0,-1692,2658,0,7906,0.01
2023/04/22,10:00,3229,1874,309,154,361,4936,173,-1174,0,0,-1776,3716,0,8086,0.01
2023/04/22,11:00,3231,1878,308,154,362,5146,170,-1316,0,0,-1726,4421,0,8207,0.01
2023/04/22,12:00,3230,2010,342,154,365,4878,154,-1286,0,0,-1680,4964,0,8167,0.01
2023/04/22,13:00,3230,1954,325,154,363,4968,162,-1326,0,0,-1728,4286,0,8102,0.01
2023/04/22,14:00,3230,1901,316,154,364,4878,167,-1323,0,0,-1726,3126,0,7961,0.01
2023/04/22,15:00,3231,2030,292,154,363,4277,163,-802,0,0,-1766,1784,0,7942,0.01
2023/04/22,16:00,3231,2392,317,153,375,3518,170,-591,0,0,-1650,434,0,7915,0.01
2023/04/22,17:00,3229,3291,734,155,425,1794,177,-132,0,0,-1524,0,0,8149,11.8
2023/04/22,18:00,3228,4199,959,155,436,233,192,0,587,0,-1718,0,0,8271,14.21
2023/04/22,19:00,3229,4290,839,155,439,0,196,0,882,0,-1632,0,0,8398,14.39
2023/04/22,20:00,3231,4273,686,155,441,0,211,0,751,0,-1636,0,0,8112,13.96
2023/04/22,21:00,3232,4260,464,155,438,0,206,0,623,0,-1606,0,0,7772,14.35
2023/04/22,22:00,3229,4204,345,155,437,0,194,0,530,0,-1628,0,0,7466,13.79
2023/04/22,23:00,3231,4246,294,155,441,0,176,0,354,0,-1650,0,0,7247,13.91
2023/04/23,00:00,3233,4091,310,155,439,0,153,-2,0,0,-1558,0,0,6821,13.15
2023/04/23,01:00,3234,3915,305,155,437,0,152,-15,0,0,-1480,0,0,6703,13.15
2023/04/23,02:00,3233,4115,319,155,439,0,138,0,105,0,-1458,0,0,7046,13.65
2023/04/23,03:00,3233,4197,561,155,439,0,141,0,623,0,-1694,0,0,7655,13.9
2023/04/23,04:00,3232,4232,674,155,438,0,133,0,954,0,-1726,0,0,8092,13.99
2023/04/23,05:00,3232,4034,700,155,439,8,123,0,1000,0,-1674,0,0,8017,13.25
2023/04/23,06:00,3233,3022,523,155,427,670,129,0,667,0,-1398,0,0,7428,5.92
2023/04/23,07:00,3233,2274,357,155,388,2543,117,-770,0,0,-1436,128,0,6861,0.01
2023/04/23,08:00,3232,1865,325,155,370,3614,7,-1263,0,0,-1492,1337,101,6813,0.01
2023/04/23,09:00,3233,1800,297,155,371,4086,3,-1345,0,0,-1464,3132,141,7136,0.01
2023/04/23,10:00,3233,1788,304,154,369,4459,2,-1366,0,0,-1546,4318,146,7397,0.01
2023/04/23,11:00,3233,1800,304,154,371,4834,3,-1616,0,0,-1552,4785,142,7531,0.01
2023/04/23,12:00,3232,1795,316,153,369,4990,3,-1728,0,0,-1542,4754,155,7588,0.01
2023/04/23,13:00,3232,1794,293,153,370,5047,4,-1794,0,0,-1580,4115,142,7519,0.01
2023/04/23,14:00,3233,1897,292,153,370,4324,4,-1424,0,0,-1470,3234,139,7379,0.01
2023/04/23,15:00,3230,2199,279,154,373,3120,3,-439,0,0,-1540,1629,125,7379,0.01
2023/04/23,16:00,3231,2737,297,155,372,2335,3,-302,0,0,-1380,403,112,7448,0.01
2023/04/23,17:00,3227,3531,609,155,410,1214,115,-159,0,0,-1344,0,0,7758,5.01
2023/04/23,18:00,3287,4550,921,155,435,171,133,0,105,0,-1544,0,0,8213,13.94
2023/04/23,19:00,3310,4672,787,155,441,0,121,0,279,0,-1460,0,0,8305,14.39
2023/04/23,20:00,3327,4694,631,155,442,0,121,0,273,0,-1624,0,0,8019,14.5
2023/04/23,21:00,3350,4665,435,155,440,0,127,0,146,0,-1654,0,0,7664,13.88
2023/04/23,22:00,3372,4508,330,155,440,0,126,0,60,0,-1612,0,0,7379,13.1
2023/04/23,23:00,3394,4201,284,155,441,0,104,0,11,0,-1526,0,0,7064,12.48
2023/04/24,00:00,3420,3734,316,155,440,0,126,-25,0,0,-1486,0,0,6680,10.03
2023/04/24,01:00,3443,3464,292,155,441,0,112,-26,0,0,-1312,0,0,6569,7.66
2023/04/24,02:00,3466,3765,336,155,437,0,85,-25,0,0,-1188,0,0,7031,10.29
2023/04/24,03:00,3486,4316,556,155,437,0,93,0,4,0,-1382,0,0,7665,10.62
2023/04/24,04:00,3490,4476,669,155,437,0,100,0,101,0,-1346,0,0,8082,10.68
2023/04/24,05:00,3489,4438,726,155,434,0,107,0,260,0,-1454,0,0,8155,11.5
2023/04/24,06:00,3490,4458,554,155,434,160,119,0,134,0,-1488,0,0,8016,10.29
2023/04/24,07:00,3488,3767,391,155,434,595,142,0,6,0,-870,0,0,8108,2.93
2023/04/24,08:00,3488,3377,303,155,434,1267,125,-15,0,0,-642,0,0,8492,0.64
2023/04/24,09:00,3471,3276,274,155,432,2039,118,-350,0,0,-534,0,0,8881,0.26
2023/04/24,10:00,3415,3394,274,155,432,2358,143,-40,0,0,-1232,0,0,8899,0.01
2023/04/24,11:00,3436,3463,283,155,432,2463,150,0,16,0,-1454,0,0,8944,0.01
2023/04/24,12:00,3466,3559,295,155,427,2305,156,-4,0,0,-1716,0,0,8643,0.01
2023/04/24,13:00,3489,3911,272,155,424,1917,154,0,3,0,-1290,0,0,9035,0.01
2023/04/24,14:00,3492,4099,268,155,425,1445,159,-188,0,0,-774,0,0,9081,0.51
2023/04/24,15:00,3493,4621,276,156,432,977,173,-247,0,0,-702,0,0,9179,7.33
2023/04/24,16:00,3513,4815,315,156,437,502,172,-309,0,0,-262,0,0,9339,8.48
2023/04/24,17:00,3533,5070,525,156,440,239,196,-121,0,0,-638,0,0,9400,13.39
2023/04/24,18:00,3560,5383,847,156,438,70,206,0,155,0,-1144,0,0,9671,14.61
2023/04/24,19:00,3584,5458,790,156,439,0,194,0,224,0,-1184,0,0,9661,14.6
2023/04/24,20:00,3611,5359,743,156,436,0,161,0,45,0,-1186,0,0,9325,14.28
2023/04/24,21:00,3634,5121,614,156,421,0,144,-63,0,0,-1172,0,0,8855,13.88
2023/04/24,22:00,3654,5107,553,156,434,0,133,-351,0,0,-1266,0,0,8420,12.97
2023/04/24,23:00,3669,5032,381,156,438,0,128,-539,0,0,-1274,0,0,7991,11.92
2023/04/25,00:00,3668,4601,350,155,437,0,154,-577,0,0,-1330,0,0,7458,10.76
2023/04/25,01:00,3664,4511,311,156,437,0,164,-541,0,0,-1370,0,0,7332,8.05
2023/04/25,02:00,3665,4647,372,155,437,0,163,-198,0,0,-1552,0,0,7689,8
2023/04/25,03:00,3665,4983,601,155,440,0,170,-17,0,0,-1602,0,0,8395,11.37
2023/04/25,04:00,3663,5089,897,155,436,0,163,-10,0,0,-1612,0,0,8781,11.87
2023/04/25,05:00,3664,5035,917,155,436,0,175,0,0,0,-1548,0,0,8834,11.62
2023/04/25,06:00,3660,5046,716,155,439,89,185,0,7,0,-1602,0,0,8695,10.53
2023/04/25,07:00,3662,4858,460,154,447,379,180,-9,0,0,-1362,0,0,8769,10.5
2023/04/25,08:00,3664,5069,350,152,449,717,166,0,62,0,-1312,0,0,9317,9.88
2023/04/25,09:00,3667,4797,316,152,446,1213,178,0,2,0,-1052,0,0,9719,9.65
2023/04/25,10:00,3671,5049,320,152,446,1393,157,-3,0,0,-1392,0,0,9793,9.8
2023/04/25,11:00,3682,5065,317,152,447,1095,145,0,62,0,-1184,0,0,9781,9.19
2023/04/25,12:00,3703,4316,350,151,449,1014,155,-5,0,0,-640,0,0,9493,5
2023/04/25,13:00,3728,4705,463,152,433,1112,171,0,0,0,-1072,0,0,9692,13.4
2023/04/25,14:00,3751,4835,653,152,429,991,176,-6,0,0,-1240,0,0,9741,16.2
2023/04/25,15:00,3774,5066,684,152,430,684,187,0,2,0,-1240,0,0,9739,16.65
2023/04/25,16:00,3799,4971,692,151,432,310,202,0,313,0,-1064,0,0,9806,15.46
2023/04/25,17:00,3819,4792,871,151,448,91,222,0,729,0,-1182,0,0,9941,17.93
2023/04/25,18:00,3844,4834,946,151,454,11,214,0,848,0,-1248,0,0,10054,18.08
2023/04/25,19:00,3867,4632,891,151,451,0,215,0,712,0,-1098,0,0,9821,16.85
2023/04/25,20:00,3876,4536,600,151,448,0,204,0,801,0,-1136,0,0,9480,15.41
2023/04/25,21:00,3874,4412,536,151,447,0,232,0,647,0,-1292,0,0,9007,12.48
2023/04/25,22:00,3874,4255,542,151,445,0,198,0,348,0,-1302,0,0,8511,10.03
2023/04/25,23:00,3872,3973,543,151,448,0,160,0,331,0,-1400,0,0,8078,7.58
2023/04/26,00:00,3872,3659,520,151,447,0,139,0,3,0,-1218,0,0,7573,9.75
2023/04/26,01:00,3876,3476,516,151,446,0,165,-17,0,0,-1216,0,0,7397,10.38
2023/04/26,02:00,3876,3763,642,151,447,0,193,0,117,0,-1456,0,0,7733,11.72
2023/04/26,03:00,3873,3986,792,152,446,0,223,0,483,0,-1606,0,0,8349,11.65
2023/04/26,04:00,3876,4078,983,154,449,0,212,0,585,0,-1662,0,0,8675,11.61
2023/04/26,05:00,3876,3940,1042,154,450,0,229,0,689,0,-1678,0,0,8702,11.01
2023/04/26,06:00,3875,3479,931,152,452,184,230,0,733,0,-1600,0,0,8436,10.26
2023/04/26,07:00,3881,3070,758,129,441,1066,199,0,162,0,-1398,0,0,8308,8.05
2023/04/26,08:00,3878,2887,683,129,397,2584,14,0,73,0,-2078,2,163,8567,10.33
2023/04/26,09:00,3881,2649,583,129,384,3958,5,-38,0,0,-2448,641,180,9103,0.01
2023/04/26,10:00,3880,2562,573,129,386,4447,5,-322,0,0,-2428,2079,186,9232,0.01
2023/04/26,11:00,3881,2371,573,129,386,4897,5,-714,0,0,-2204,3670,205,9324,0.01
2023/04/26,12:00,3877,2465,573,129,387,4707,5,-975,0,0,-2074,4981,216,9094,0.01
2023/04/26,13:00,3877,2573,539,129,387,4889,6,-880,0,0,-2386,4315,224,9134,0.01
2023/04/26,14:00,3874,2419,498,129,386,4965,5,-881,0,0,-2340,3249,236,9055,0.01
2023/04/26,15:00,3886,2455,524,129,386,4805,6,-850,0,0,-2412,1752,223,8929,0.01
2023/04/26,16:00,3910,2641,601,129,389,4237,7,-800,0,0,-2200,196,209,8914,1.51
2023/04/26,17:00,3931,3161,826,129,430,2146,171,-225,0,0,-1588,0,0,8981,12.71
2023/04/26,18:00,3957,4071,1004,129,444,358,174,0,556,0,-1610,0,0,9083,17.69
2023/04/26,19:00,3981,4195,1034,129,444,0,154,0,716,0,-1408,0,0,9245,16.75
2023/04/26,20:00,4006,4157,990,129,441,0,152,0,468,0,-1413,0,0,8930,15.23
2023/04/26,21:00,4031,4117,799,129,443,0,114,0,274,0,-1327,0,0,8580,14.12
2023/04/26,22:00,4056,4073,607,130,442,0,102,0,149,0,-1407,0,0,8152,13.95
2023/04/26,23:00,4078,3807,557,130,442,0,68,0,100,0,-1337,0,0,7845,12.61
2023/04/27,00:00,4087,3411,497,130,443,0,50,0,10,0,-1256,0,0,7372,7.49
2023/04/27,01:00,4086,3360,462,130,442,0,25,-17,0,0,-1176,0,0,7312,5.84
2023/04/27,02:00,4089,3517,564,130,442,0,26,0,233,0,-1236,0,0,7765,7
2023/04/27,03:00,4087,3800,812,130,444,0,22,0,413,0,-1278,0,0,8430,9.36
2023/04/27,04:00,4089,3873,977,130,443,0,19,0,635,0,-1296,0,0,8870,10.05
2023/04/27,05:00,4085,3440,953,130,442,20,20,0,866,0,-1012,0,0,8944,9.9
2023/04/27,06:00,4089,3051,866,130,445,817,27,0,564,0,-1270,0,0,8719,3.5
2023/04/27,07:00,4084,2354,630,130,415,2879,18,-516,0,0,-1728,34,0,8266,0.01
2023/04/27,08:00,4086,2143,508,130,365,4368,2,-797,0,0,-2320,840,22,8485,0.01
2023/04/27,09:00,4090,2261,375,130,361,5080,1,-959,0,0,-2320,2158,33,9019,0.01
2023/04/27,10:00,4089,2371,345,128,355,5226,1,-1046,0,0,-2306,3462,42,9163,0.01
2023/04/27,11:00,4090,2415,336,128,353,5312,2,-1036,0,0,-2330,3767,61,9270,0.01
2023/04/27,12:00,4089,2352,345,128,352,4614,3,-1036,0,0,-2032,4115,56,8815,0.01
2023/04/27,13:00,4092,2384,338,127,352,4765,3,-777,0,0,-2300,3278,53,8984,0.01
2023/04/27,14:00,4091,2243,365,127,351,4945,5,-840,0,0,-2324,2137,55,8963,0.01
2023/04/27,15:00,4091,2370,366,127,353,4721,5,-756,0,0,-2332,981,40,8945,0.01
2023/04/27,16:00,4091,2672,432,127,366,3579,4,-507,0,0,-1896,42,21,8868,0.01
2023/04/27,17:00,4086,3295,864,127,412,1770,1,-285,0,0,-1441,0,0,8829,12.7
2023/04/27,18:00,4090,4123,1011,127,427,362,2,0,316,0,-1472,0,0,8986,15.75
2023/04/27,19:00,4107,4232,959,127,422,0,9,0,677,0,-1437,0,0,9096,15.68
2023/04/27,20:00,4133,4247,928,127,423,0,10,0,278,0,-1349,0,0,8797,14.47
2023/04/27,21:00,4145,4097,860,128,424,0,24,0,55,0,-1359,0,0,8374,12.69
2023/04/27,22:00,4145,4083,608,127,424,0,40,0,22,0,-1411,0,0,8038,10.2
2023/04/27,23:00,4146,3649,567,127,422,0,37,0,28,0,-1239,0,0,7737,9.92
2023/04/28,00:00,4144,3133,406,130,425,0,29,0,11,0,-956,0,0,7322,8.45
2023/04/28,01:00,4145,2869,365,130,423,0,29,-33,0,0,-728,0,0,7200,5.84
2023/04/28,02:00,4145,3275,451,130,425,0,29,0,184,0,-1084,0,0,7555,11.7
2023/04/28,03:00,4146,3175,800,129,424,0,35,0,706,0,-1248,0,0,8167,13.59
2023/04/28,04:00,4148,3168,925,129,425,0,40,0,893,0,-1134,0,0,8594,10.08
2023/04/28,05:00,4148,2968,912,129,423,16,61,0,1012,0,-1050,0,0,8619,9.76
2023/04/28,06:00,4148,2374,855,129,416,624,58,0,619,0,-946,0,0,8277,7.63
2023/04/28,07:00,4150,2041,546,129,377,2152,44,-278,0,0,-1206,0,0,7955,0.26
2023/04/28,08:00,4146,2025,395,128,363,3736,4,-1047,0,0,-1504,688,12,8246,0.01
2023/04/28,09:00,4149,1877,345,127,359,5072,4,-1262,0,0,-1726,1628,56,8945,0.01
2023/04/28,10:00,4148,1993,323,127,359,5202,4,-1316,0,0,-1666,2980,77,9174,0.01
2023/04/28,11:00,4149,2109,316,127,360,4907,3,-1146,0,0,-1572,3593,79,9253,0.01
2023/04/28,12:00,4149,1925,322,127,362,4307,4,-1100,0,0,-1444,3965,110,8652,0.01
2023/04/28,13:00,4149,2147,305,137,360,4546,4,-917,0,0,-1672,2994,104,9059,0.01
2023/04/28,14:00,4149,2282,317,152,359,4239,2,-573,0,0,-1864,1893,96,9063,0.01
2023/04/28,15:00,4151,2478,406,152,358,3870,4,-501,0,0,-2006,595,76,8912,0.01
2023/04/28,16:00,4149,2740,454,152,366,2927,19,-383,0,0,-1584,0,34,8840,5.59
2023/04/28,17:00,4149,3350,825,152,413,1135,47,-42,0,0,-1150,0,0,8879,12.85
2023/04/28,18:00,4149,3839,1003,152,422,156,59,0,284,0,-1114,0,0,8950,14.14
2023/04/28,19:00,4146,3660,993,152,423,0,72,0,662,0,-1204,0,0,8904,14.32
2023/04/28,20:00,4145,3559,861,152,424,0,80,0,551,0,-1219,0,0,8553,13.19
2023/04/28,21:00,4142,3558,703,152,424,0,93,0,342,0,-1247,0,0,8167,10.32
2023/04/28,22:00,4142,3346,599,152,424,0,101,0,297,0,-1205,0,0,7856,10
2023/04/28,23:00,4144,3177,489,152,425,0,106,0,146,0,-1099,0,0,7540,9.86
2023/04/29,00:00,4145,2859,400,152,425,0,115,0,1,0,-966,0,0,7131,13.12
2023/04/29,01:00,4147,2670,391,152,423,0,129,-8,0,0,-944,0,0,6960,11.3
2023/04/29,02:00,4144,2861,548,152,423,0,133,0,74,0,-1080,0,0,7255,13.36
2023/04/29,03:00,4145,3087,874,152,423,0,145,0,237,0,-1270,0,0,7793,13.97
2023/04/29,04:00,4147,2999,947,152,423,0,181,0,338,0,-1142,0,0,8045,13.98
2023/04/29,05:00,4146,2781,762,152,424,0,207,0,292,0,-922,0,0,7842,14.16
2023/04/29,06:00,4146,2284,571,152,424,68,217,0,284,0,-894,0,0,7252,10.99
2023/04/29,07:00,4147,1986,504,151,422,283,233,-177,0,0,-320,0,0,7229,2.93
2023/04/29,08:00,4147,1921,506,151,398,653,225,-268,0,0,-298,0,0,7435,0.01
2023/04/29,09:00,4148,1863,442,151,357,958,219,-2,0,0,-308,1,0,7828,0.01
2023/04/29,10:00,4149,1898,405,151,358,995,216,0,0,0,-264,1,0,7908,0.01
2023/04/29,11:00,4149,1902,426,151,358,1086,201,-17,0,0,-248,1,0,8008,0.01
2023/04/29,12:00,4149,1902,390,150,361,1293,191,-191,0,0,-330,1,0,7915,0.01
2023/04/29,13:00,4151,2336,401,149,396,985,175,0,10,0,-660,1,0,7943,0.01
2023/04/29,14:00,4150,2582,436,149,422,734,161,-8,0,0,-674,1,0,7952,0.01
2023/04/29,15:00,4149,2717,459,149,424,554,173,0,14,0,-668,1,0,7971,0.01
2023/04/29,16:00,4150,2583,647,149,428,371,191,0,107,0,-586,0,0,8040,6.85
2023/04/29,17:00,4143,2676,941,148,428,156,205,0,457,0,-832,0,0,8322,14.53
2023/04/29,18:00,4142,2653,1079,148,426,22,221,0,600,0,-760,0,0,8531,15.63
2023/04/29,19:00,4142,2661,1102,148,426,0,169,0,576,0,-826,0,0,8398,16.18
2023/04/29,20:00,4147,2639,1006,148,423,0,122,0,579,0,-960,0,0,8104,15.03
2023/04/29,21:00,4149,2607,895,149,426,0,93,0,271,0,-870,0,0,7720,15.07
2023/04/29,22:00,4149,2551,864,150,429,0,72,0,250,0,-1127,0,0,7338,12.39
2023/04/29,23:00,4148,2473,862,151,425,0,96,0,54,0,-1179,0,0,7030,12.7
2023/04/30,00:00,4149,2147,745,151,427,0,174,0,0,0,-1114,0,0,6679,10.98
2023/04/30,01:00,4149,2239,725,151,426,0,197,-7,0,0,-1346,0,0,6534,10.6
2023/04/30,02:00,4149,2413,887,152,428,0,175,0,57,0,-1362,0,0,6899,12.81
2023/04/30,03:00,4150,2575,1155,153,428,0,161,0,205,0,-1358,0,0,7469,12.93
2023/04/30,04:00,4149,2403,1196,154,425,0,148,0,572,0,-1294,0,0,7753,12.7
2023/04/30,05:00,4150,1977,1171,154,421,5,144,0,614,0,-1010,0,0,7626,13.24
2023/04/30,06:00,4149,1737,976,154,383,254,142,0,226,0,-1104,0,0,6917,11.58
2023/04/30,07:00,4149,1749,806,154,361,728,120,-119,0,0,-1272,138,0,6676,0.51
2023/04/30,08:00,4148,1751,786,154,363,970,8,0,222,0,-1502,373,58,6900,0.01
2023/04/30,09:00,4151,1664,672,154,363,1494,4,0,92,0,-1522,1109,83,7072,0.01
2023/04/30,10:00,4148,1422,633,154,365,2137,3,-314,0,0,-1522,1519,79,7026,0.01
2023/04/30,11:00,4150,1300,600,154,362,2738,4,-620,0,0,-1548,1970,74,7140,0.01
2023/04/30,12:00,4150,1279,583,154,363,3439,5,-1234,0,0,-1490,2566,50,7249,0.01
2023/04/30,13:00,4149,1365,562,153,363,3236,2,-1255,0,0,-1472,3205,97,7103,0.01
2023/04/30,14:00,4152,1363,562,154,362,2997,3,-1040,0,0,-1486,3179,96,7067,0.01
2023/04/30,15:00,4148,1360,542,152,365,2786,3,-839,0,0,-1570,2115,105,6947,0.01
2023/04/30,16:00,4149,1623,615,152,364,3021,3,-1299,0,0,-1558,633,80,7070,0.01
2023/04/30,17:00,4144,1826,820,153,363,2054,18,-962,0,0,-926,0,0,7490,9.06
2023/04/30,18:00,4143,1991,1042,152,372,374,32,0,764,0,-1082,0,0,7788,14.35
2023/04/30,19:00,4145,2013,1059,153,419,0,36,0,838,0,-700,0,0,7963,14.85
2023/04/30,20:00,4148,2034,1031,154,428,0,38,0,757,0,-831,0,0,7759,13.36
2023/04/30,21:00,4150,2010,939,154,430,0,39,0,595,0,-843,0,0,7474,12.71
2023/04/30,22:00,4150,1952,841,154,429,0,44,0,372,0,-823,0,0,7119,12.25
2023/04/30,23:00,4148,2067,780,154,429,0,48,0,120,0,-925,0,0,6821,12.19
2023/05/01,00:00,4149,1933,635,154,430,0,61,-16,0,0,-910,0,0,6436,13.25
2023/05/01,01:00,4150,1849,583,154,426,0,66,-18,0,0,-882,0,0,6328,11.54
2023/05/01,02:00,4150,1921,671,154,426,0,86,0,156,0,-796,0,0,6768,13.59
2023/05/01,03:00,4149,2082,895,154,424,0,92,0,694,0,-1002,0,0,7488,13.88
2023/05/01,04:00,4151,2182,1043,154,422,0,87,0,660,0,-778,0,0,7921,13.88
2023/05/01,05:00,4149,2134,1006,154,414,27,88,0,641,0,-648,0,0,7965,13.75
2023/05/01,06:00,4149,1721,729,155,373,888,68,0,301,0,-746,0,0,7638,10.3
2023/05/01,07:00,4150,1658,622,154,357,2505,52,-598,0,0,-1538,549,0,7362,0.01
2023/05/01,08:00,4151,1521,567,154,349,2729,7,-675,0,0,-1250,2573,62,7553,0.01
2023/05/01,09:00,4129,1505,491,154,351,3098,2,-569,0,0,-1112,4251,93,8049,0.01
2023/05/01,10:00,4079,1369,453,154,351,3675,2,-858,0,0,-1012,5135,129,8213,0.01
2023/05/01,11:00,4095,1371,427,153,353,3967,3,-1054,0,0,-1018,5483,151,8297,0.01
2023/05/01,12:00,4119,1426,408,153,349,3944,4,-1222,0,0,-1090,5436,164,8091,0.01
2023/05/01,13:00,4139,1405,404,153,352,4055,4,-987,0,0,-1332,4787,179,8193,0.01
2023/05/01,14:00,4150,1411,399,152,352,3822,4,-760,0,0,-1346,4248,184,8184,0.01
2023/05/01,15:00,4148,1538,395,152,352,3841,4,-728,0,0,-1550,2611,180,8152,0.01
2023/05/01,16:00,4151,1657,451,152,355,3592,4,-546,0,0,-1548,783,162,8268,0.01
2023/05/01,17:00,4141,2100,723,152,392,2151,69,-284,0,0,-1118,0,0,8326,7.94
2023/05/01,18:00,4142,2356,987,152,420,376,66,0,551,0,-744,0,0,8306,16.57
2023/05/01,19:00,4144,2386,1017,153,420,0,53,0,853,0,-646,0,0,8380,16.74
2023/05/01,20:00,4150,2470,923,153,423,0,37,0,624,0,-636,0,0,8144,14.63
2023/05/01,21:00,4149,2368,797,153,425,0,37,0,501,0,-636,0,0,7794,13.92
2023/05/01,22:00,4149,2171,664,153,421,0,27,0,476,0,-658,0,0,7403,13.92
2023/05/01,23:00,4147,2277,513,153,425,0,15,0,289,0,-732,0,0,7087,13.66
2023/05/02,00:00,4147,2176,468,154,423,0,7,-13,0,0,-722,0,0,6640,13.18
2023/05/02,01:00,4150,2029,475,154,422,0,6,-18,0,0,-660,0,0,6558,13.18
2023/05/02,02:00,4147,2268,566,155,422,0,5,0,233,0,-800,0,0,6996,13.18
2023/05/02,03:00,4150,2474,939,155,425,0,7,0,335,0,-828,0,0,7657,13.18
2023/05/02,04:00,4146,2490,1073,155,420,0,4,0,605,0,-778,0,0,8115,13.18
2023/05/02,05:00,4149,2357,947,154,414,32,7,0,772,0,-674,0,0,8158,13.18
2023/05/02,06:00,4151,1889,763,155,374,935,14,0,565,0,-1056,0,0,7790,7.09
2023/05/02,07:00,4148,1475,652,154,356,2936,17,-580,0,0,-1682,61,0,7476,0.01
2023/05/02,08:00,4149,1542,508,154,354,3596,3,-1191,0,0,-1450,1456,10,7665,0.01
2023/05/02,09:00,4151,1382,460,153,351,3583,2,-852,0,0,-1214,3250,41,8016,0.01
2023/05/02,10:00,4154,1285,448,153,352,3925,1,-942,0,0,-1186,4405,55,8190,0.01
2023/05/02,11:00,4153,1355,442,153,352,4282,0,-1299,0,0,-1146,4861,42,8292,0.01
2023/05/02,12:00,4151,1276,399,152,354,4332,0,-1345,0,0,-1238,5093,28,8081,0.01
2023/05/02,13:00,4154,1308,392,152,351,4503,2,-1305,0,0,-1270,4387,61,8287,0.01
