,,Kyushu,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kyushu
2023/01/03,14:00,2999,3056,142,151,406,4674,118,-1807,0,0,-1942,396,0,7797,0.01
2023/01/03,15:00,2998,3677,148,151,458,3423,115,-1233,0,0,-1922,1,0,7815,6.68
2023/01/03,16:00,2998,5547,164,151,508,1241,115,-43,0,0,-2016,0,0,8665,19.81
2023/01/03,17:00,2994,7772,281,151,516,43,120,0,202,0,-2214,0,0,9865,14.65
2023/01/03,18:00,2994,8098,511,151,516,0,118,0,555,0,-2300,0,0,10643,15.42
2023/01/03,19:00,2997,8132,559,151,519,0,117,0,556,0,-2304,0,0,10727,15.42
2023/01/03,20:00,2996,8098,447,151,519,0,103,0,589,0,-2226,0,0,10677,13.83
2023/01/03,21:00,2997,8136,259,151,516,0,107,0,462,0,-2194,0,0,10434,17.57
2023/01/03,22:00,2996,8012,171,151,518,0,99,0,69,0,-2066,0,0,9950,7.04
2023/01/03,23:00,2998,7630,160,151,518,0,102,-1,0,0,-2012,0,0,9546,7.04
2023/01/04,00:00,2998,7060,174,151,519,0,113,-4,0,0,-1908,0,0,9103,7.04
2023/01/04,01:00,2996,7022,166,151,519,0,130,-16,0,0,-1898,0,0,9070,7.04
2023/01/04,02:00,2998,7376,162,151,520,0,139,-13,0,0,-1924,0,0,9409,7.04
2023/01/04,03:00,2999,7767,178,151,521,0,145,-9,0,0,-1942,0,0,9810,7.04
2023/01/04,04:00,2998,7806,189,151,521,0,129,0,0,0,-1940,0,0,9854,7.04
2023/01/04,05:00,2998,7584,222,151,518,0,126,0,0,0,-1888,0,0,9711,7.04
2023/01/04,06:00,2999,7802,357,151,520,0,121,0,4,0,-1884,0,0,10070,7.04
2023/01/04,07:00,3000,7981,427,151,519,111,125,0,504,0,-1948,0,0,10870,7.04
2023/01/04,08:00,2999,7515,299,151,518,1573,98,0,475,0,-2308,1,0,11320,22.46
2023/01/04,09:00,2975,5105,203,151,508,3619,87,-31,0,0,-2170,1,0,10447,18.83
2023/01/04,10:00,2921,3884,146,151,477,5424,102,-986,0,0,-2368,2,0,9751,17.78
2023/01/04,11:00,2933,3298,141,151,423,6521,105,-1717,0,0,-2220,258,0,9635,6.68
2023/01/04,12:00,2962,3154,150,151,425,6083,114,-1379,0,0,-2186,1004,0,9474,0.01
2023/01/04,13:00,2983,3115,142,151,423,5798,135,-1380,0,0,-2146,774,0,9221,0.01
2023/01/04,14:00,2997,3596,141,151,434,5165,144,-1532,0,0,-2184,198,0,8912,8.84
2023/01/04,15:00,2999,5203,144,151,499,3541,130,-1343,0,0,-2168,1,0,9156,17.62
2023/01/04,16:00,2998,7766,158,151,518,1257,117,-841,0,0,-2254,0,0,9870,12.69
2023/01/04,17:00,2998,8944,331,151,518,47,100,0,285,0,-2450,0,0,10924,22.56
2023/01/04,18:00,2995,9044,596,151,519,0,82,0,672,0,-2440,0,0,11619,23.02
2023/01/04,19:00,2996,9053,550,151,518,0,66,0,741,0,-2496,0,0,11579,22.87
2023/01/04,20:00,2996,9089,337,151,517,0,63,0,682,0,-2402,0,0,11433,21.83
2023/01/04,21:00,3000,9071,203,151,518,0,68,0,335,0,-2376,0,0,10970,21.92
2023/01/04,22:00,2999,8680,142,151,513,0,79,0,31,0,-2252,0,0,10343,17.65
2023/01/04,23:00,3000,8128,132,151,517,0,80,0,0,0,-2148,0,0,9860,8.52
2023/01/05,00:00,2999,7287,140,151,519,0,78,0,0,0,-1762,0,0,9412,20.43
2023/01/05,01:00,2999,7253,137,151,517,0,78,0,0,0,-1724,0,0,9411,17.66
2023/01/05,02:00,3001,7882,132,151,518,0,78,0,0,0,-1976,0,0,9786,20.33
2023/01/05,03:00,2999,8330,139,151,519,0,84,0,0,0,-2084,0,0,10138,21.29
2023/01/05,04:00,3000,8439,163,151,521,0,86,0,0,0,-2098,0,0,10262,21.27
2023/01/05,05:00,2999,8566,178,151,520,0,96,0,0,0,-2056,0,0,10454,20.57
2023/01/05,06:00,2999,8772,303,151,516,0,88,0,248,0,-2066,0,0,11011,21.83
2023/01/05,07:00,2998,8877,404,151,515,106,95,0,940,0,-2152,0,0,11934,25.6
2023/01/05,08:00,2998,8755,239,151,512,1349,92,0,891,0,-2354,0,0,12633,22.7
2023/01/05,09:00,2997,7637,153,150,509,3066,71,0,56,0,-2504,1,0,12135,20.41
2023/01/05,10:00,3001,5796,147,150,495,4612,57,-237,0,0,-2672,1,0,11349,20.16
2023/01/05,11:00,2999,4908,139,150,436,5682,52,-485,0,0,-2912,1,0,10969,17.7
2023/01/05,12:00,2998,4767,136,150,421,6130,50,-1366,0,0,-2846,1,0,10440,13.2
2023/01/05,13:00,2998,5221,133,150,432,5754,57,-1544,0,0,-2870,1,0,10331,16.66
2023/01/05,14:00,3001,6092,129,151,494,4682,21,-1762,0,0,-2608,1,0,10200,19.81
2023/01/05,15:00,3001,7262,134,151,511,2907,19,-1046,0,0,-2564,1,0,10375,21.31
2023/01/05,16:00,2999,8087,138,151,514,978,44,-321,0,0,-1656,0,0,10934,23.74
2023/01/05,17:00,2998,8284,349,151,518,39,66,0,820,0,-1534,0,0,11691,26.51
2023/01/05,18:00,2997,8396,581,151,518,0,86,0,947,0,-1440,0,0,12236,25.48
2023/01/05,19:00,2999,8397,539,151,516,0,90,0,526,0,-1156,0,0,12062,24.26
2023/01/05,20:00,2998,8132,317,151,518,0,110,0,95,0,-576,0,0,11745,22.44
2023/01/05,21:00,2998,8201,233,151,516,0,108,0,221,0,-1164,0,0,11264,21.62
2023/01/05,22:00,2998,8002,149,151,514,0,82,0,155,0,-1392,0,0,10659,21.86
2023/01/05,23:00,2999,7739,126,151,518,0,68,0,167,0,-1612,0,0,10156,20.37
2023/01/06,00:00,2999,7421,132,151,517,0,82,0,0,0,-1682,0,0,9620,21.63
2023/01/06,01:00,2998,7197,127,151,517,0,73,0,0,0,-1502,0,0,9561,19.64
2023/01/06,02:00,2998,7670,131,151,516,0,65,0,49,0,-1656,0,0,9924,19.39
2023/01/06,03:00,2995,7943,134,151,517,0,62,0,341,0,-1874,0,0,10269,21.05
2023/01/06,04:00,3000,8046,146,151,517,0,59,0,392,0,-1924,0,0,10387,21.27
2023/01/06,05:00,2999,8213,173,151,518,0,46,0,487,0,-1980,0,0,10607,21.27
2023/01/06,06:00,3001,8583,286,151,517,0,30,0,193,0,-1598,0,0,11163,21.14
2023/01/06,07:00,3000,8940,376,151,516,69,25,0,666,0,-1724,0,0,12019,24.13
2023/01/06,08:00,2999,9149,266,151,512,1043,20,0,1016,0,-2462,0,0,12694,24.93
2023/01/06,09:00,2999,8785,155,151,509,2604,12,0,320,0,-3102,0,0,12433,22.76
2023/01/06,10:00,2998,6835,129,151,510,3843,6,-153,0,0,-2624,0,0,11695,22.29
2023/01/06,11:00,3000,6324,129,151,511,3999,8,-599,0,0,-2128,0,0,11395,19.62
2023/01/06,12:00,2998,6366,135,150,510,3322,4,-1089,0,0,-1336,0,0,11060,16.42
2023/01/06,13:00,2999,6405,128,151,503,2383,7,-391,0,0,-780,0,0,11405,21.58
2023/01/06,14:00,3000,7463,126,151,505,1654,15,-568,0,0,-1052,0,0,11294,22.56
2023/01/06,15:00,2998,8366,122,151,508,1219,22,-750,0,0,-1372,0,0,11264,23.01
2023/01/06,16:00,2998,8961,136,151,510,580,26,0,218,0,-2120,0,0,11460,25.35
2023/01/06,17:00,2997,8990,285,151,512,31,12,0,1453,0,-2378,0,0,12053,26.17
2023/01/06,18:00,2995,8976,545,151,513,0,7,0,1036,0,-1888,0,0,12335,26
2023/01/06,19:00,2996,9008,523,151,511,0,11,0,828,0,-2020,0,0,12008,25.36
2023/01/06,20:00,2996,8993,419,151,510,0,12,0,771,0,-2306,0,0,11546,23.77
2023/01/06,21:00,2999,8992,222,151,508,0,6,0,547,0,-2360,0,0,11065,23.32
2023/01/06,22:00,3000,8889,132,151,509,0,10,0,119,0,-2382,0,0,10428,21.9
2023/01/06,23:00,3000,8475,132,151,511,0,12,0,35,0,-2436,0,0,9880,17.82
2023/01/07,00:00,2999,7521,129,151,510,0,21,0,0,0,-2116,0,0,9215,16.7
2023/01/07,01:00,2999,7368,129,151,510,0,48,0,0,0,-2090,0,0,9115,16.5
2023/01/07,02:00,2997,7740,131,151,509,0,66,0,0,0,-2130,0,0,9464,19.34
2023/01/07,03:00,2999,8081,125,151,511,0,112,0,0,0,-2146,0,0,9833,19.81
2023/01/07,04:00,2998,8095,135,150,511,0,198,0,0,0,-2138,0,0,9949,14
2023/01/07,05:00,2996,7870,158,150,510,0,259,0,0,0,-2080,0,0,9863,9.01
2023/01/07,06:00,2998,7730,263,150,512,2,284,0,0,0,-2068,0,0,9871,8.03
2023/01/07,07:00,2997,8149,377,150,512,57,308,0,8,0,-2160,0,0,10398,22.66
2023/01/07,08:00,3000,8099,284,150,511,878,337,0,129,0,-2354,0,0,11034,21.3
2023/01/07,09:00,3000,7074,160,150,511,2122,325,0,9,0,-2416,0,0,10935,22.2
2023/01/07,10:00,3000,5510,130,150,514,3304,297,0,0,0,-2340,1,0,10565,20.53
2023/01/07,11:00,2998,4981,131,151,514,3970,307,-467,0,0,-2266,1,0,10319,19.83
2023/01/07,12:00,2999,4978,134,150,518,4511,309,-1245,0,0,-2196,1,0,10158,17.88
2023/01/07,13:00,2999,5160,139,150,516,4336,318,-1379,0,0,-2138,1,0,10101,18.12
2023/01/07,14:00,2997,5604,143,150,516,3546,317,-1252,0,0,-2126,1,0,9895,18.12
2023/01/07,15:00,2998,6198,142,151,515,2382,297,-581,0,0,-2102,1,0,10000,19.73
2023/01/07,16:00,3000,7590,170,151,518,903,284,-42,0,0,-2188,0,0,10386,19.59
2023/01/07,17:00,2996,8129,285,151,518,49,265,0,727,0,-1986,0,0,11134,23.92
2023/01/07,18:00,2995,8105,484,151,520,0,248,0,772,0,-1764,0,0,11511,24.15
2023/01/07,19:00,2996,8084,453,151,519,0,236,0,869,0,-2036,0,0,11272,22.99
2023/01/07,20:00,2996,8089,288,151,519,0,209,0,793,0,-2094,0,0,10951,23.26
2023/01/07,21:00,3001,8086,156,151,521,0,166,0,600,0,-2088,0,0,10593,22.62
2023/01/07,22:00,3000,8049,133,151,518,0,155,0,289,0,-2152,0,0,10143,21.78
2023/01/07,23:00,2999,7765,132,151,522,0,130,0,59,0,-2012,0,0,9746,19.91
2023/01/08,00:00,3000,7425,133,151,521,0,117,0,0,0,-2062,0,0,9285,22.38
2023/01/08,01:00,3001,7437,136,151,521,0,126,0,0,0,-2104,0,0,9268,20.68
2023/01/08,02:00,2999,7900,158,151,520,0,113,0,15,0,-2108,0,0,9748,19.81
2023/01/08,03:00,2999,8064,255,151,519,0,103,0,181,0,-2150,0,0,10122,21.09
2023/01/08,04:00,2997,8090,289,151,520,0,101,0,197,0,-2116,0,0,10229,20
2023/01/08,05:00,2999,8049,207,151,521,0,92,0,108,0,-2068,0,0,10059,14
2023/01/08,06:00,2999,7988,198,151,516,0,109,0,0,0,-2046,0,0,9915,14.26
2023/01/08,07:00,2998,7999,217,151,520,102,94,0,283,0,-2144,0,0,10220,21.2
2023/01/08,08:00,3001,7029,199,151,514,1499,76,0,105,0,-2170,1,0,10404,18.79
2023/01/08,09:00,2998,4749,161,151,481,3521,37,-79,0,0,-2428,2,0,9591,17.95
2023/01/08,10:00,2998,3214,132,151,429,5424,17,-1091,0,0,-2370,3,0,8904,1.01
