,,Shikoku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Shikoku
2023/01/03,18:00,880,2960,270,0,110,0,130,0,0,1110,0,0,0,3240,24.05
2023/01/03,19:00,880,2980,240,0,110,0,130,0,0,1120,0,0,0,3220,23.98
2023/01/03,20:00,880,2970,170,0,110,0,150,0,0,1090,0,0,0,3190,23.52
2023/01/03,21:00,880,2830,120,0,110,0,160,0,0,1040,0,0,0,3060,22.48
2023/01/03,22:00,880,2740,80,0,110,0,150,0,0,1100,0,0,0,2860,21.58
2023/01/03,23:00,880,2650,50,0,110,0,140,0,0,1010,0,0,0,2820,20.6
2023/01/04,00:00,880,2610,50,0,110,0,140,0,0,1010,0,0,0,2780,21.25
2023/01/04,01:00,880,2590,40,0,110,0,150,0,0,920,0,0,0,2850,20.56
2023/01/04,02:00,880,2610,50,0,110,0,150,0,0,800,0,0,0,3000,19.9
2023/01/04,03:00,880,2680,50,0,110,0,160,0,0,780,0,0,0,3100,19.83
2023/01/04,04:00,880,2660,40,0,110,0,160,0,0,750,0,0,0,3100,18.92
2023/01/04,05:00,880,2680,40,0,110,0,150,0,0,820,0,0,0,3040,20.56
2023/01/04,06:00,880,2650,80,0,110,0,140,0,0,810,0,0,0,3050,21.84
2023/01/04,07:00,880,2740,110,0,110,70,150,0,0,840,0,0,0,3220,24.87
2023/01/04,08:00,880,2600,100,0,100,550,150,0,0,880,0,0,0,3500,22.46
2023/01/04,09:00,880,2450,80,0,100,1140,150,0,0,1450,0,0,0,3350,18.83
2023/01/04,10:00,880,2360,90,0,100,1460,160,0,160,1700,0,0,0,3190,18.54
2023/01/04,11:00,880,2450,120,0,100,1330,170,0,290,1620,0,0,0,3140,14.03
2023/01/04,12:00,880,2300,80,0,100,1390,180,0,280,1590,0,0,0,3060,13.01
2023/01/04,13:00,880,2120,70,0,100,1440,170,0,0,1730,0,0,0,3050,17.46
2023/01/04,14:00,880,2330,70,0,100,1120,180,0,0,1680,0,0,0,3000,17.68
2023/01/04,15:00,880,2730,80,0,100,630,180,0,0,1550,0,0,0,3050,17.62
2023/01/04,16:00,880,3130,100,0,100,150,170,0,20,1350,0,0,0,3200,21.66
2023/01/04,17:00,880,3120,200,0,100,0,190,0,30,1060,0,0,0,3460,22.56
2023/01/04,18:00,880,2920,270,0,100,0,180,0,240,1030,0,0,0,3560,23.02
2023/01/04,19:00,880,2910,280,0,100,0,180,0,330,1160,0,0,0,3520,22.87
2023/01/04,20:00,880,3190,180,0,100,0,180,0,40,1150,0,0,0,3420,21.83
2023/01/04,21:00,880,3290,80,0,100,0,180,0,30,1320,0,0,0,3240,21.92
2023/01/04,22:00,880,3220,60,0,100,0,160,0,20,1430,0,0,0,3010,21.71
2023/01/04,23:00,880,3070,50,0,100,0,150,0,0,1340,0,0,0,2910,19.6
2023/01/05,00:00,880,3050,50,0,100,0,150,0,0,1380,0,0,0,2850,20.43
2023/01/05,01:00,880,3010,50,0,100,0,160,0,0,1290,0,0,0,2910,17.66
2023/01/05,02:00,880,3160,50,0,100,0,160,0,0,1260,0,0,0,3090,20.33
2023/01/05,03:00,880,3210,50,0,100,0,150,0,0,1210,0,0,0,3180,21.29
2023/01/05,04:00,880,3160,40,0,100,0,160,0,0,1120,0,0,0,3220,21.27
2023/01/05,05:00,880,3280,60,0,100,0,150,0,20,1270,0,0,0,3220,20.57
2023/01/05,06:00,880,3400,160,0,100,0,140,0,40,1370,0,0,0,3350,21.83
2023/01/05,07:00,880,3370,160,0,100,70,150,0,40,1190,0,0,0,3580,25.6
2023/01/05,08:00,880,3210,120,0,100,550,150,0,40,1040,0,0,0,4010,22.7
2023/01/05,09:00,880,3010,100,0,100,1110,130,0,10,1350,0,0,0,3990,20.41
2023/01/05,10:00,880,2580,80,0,100,1530,140,0,210,1730,0,0,0,3790,20.16
2023/01/05,11:00,880,2480,80,0,100,1740,140,0,0,1760,0,0,0,3660,17.7
2023/01/05,12:00,880,2460,80,0,100,1640,140,0,0,1850,0,0,0,3450,13.2
2023/01/05,13:00,880,2540,70,0,100,1520,160,0,0,1810,0,0,0,3460,17.97
2023/01/05,14:00,880,2740,70,0,100,1240,160,0,0,1790,0,0,0,3400,20.66
2023/01/05,15:00,880,3000,90,0,100,750,140,0,0,1530,0,0,0,3430,21.53
2023/01/05,16:00,880,3390,130,0,100,210,120,0,20,1280,0,0,0,3570,23.74
2023/01/05,17:00,880,3270,270,0,100,0,120,0,20,910,0,0,0,3750,26.51
2023/01/05,18:00,880,3280,340,0,100,0,120,0,20,900,0,0,0,3840,25.48
2023/01/05,19:00,880,3360,290,0,100,0,130,0,20,1050,0,0,0,3730,24.26
2023/01/05,20:00,880,3510,200,0,110,0,110,0,0,1210,0,0,0,3600,22.44
2023/01/05,21:00,880,3300,90,0,100,0,100,0,0,1060,0,0,0,3410,21.62
2023/01/05,22:00,880,3120,60,0,110,0,90,0,0,1100,0,0,0,3160,21.86
2023/01/05,23:00,880,3000,40,0,110,0,60,0,20,1040,0,0,0,3070,20.37
2023/01/06,00:00,880,2910,50,0,100,0,50,0,20,1020,0,0,0,2990,21.63
2023/01/06,01:00,880,2880,40,0,110,0,60,0,0,920,0,0,0,3050,19.64
2023/01/06,02:00,880,2920,40,0,100,0,70,0,0,780,0,0,0,3230,19.39
2023/01/06,03:00,880,2910,50,0,100,0,80,0,0,690,0,0,0,3330,21.05
2023/01/06,04:00,880,2950,40,0,110,0,70,0,0,710,0,0,0,3340,21.27
2023/01/06,05:00,880,3030,60,0,110,0,60,0,0,810,0,0,0,3330,21.27
2023/01/06,06:00,880,3380,130,0,110,0,70,0,0,1120,0,0,0,3450,21.14
2023/01/06,07:00,880,3330,220,0,110,60,70,0,280,1280,0,0,0,3670,24.13
2023/01/06,08:00,880,3360,160,0,100,500,40,0,290,1100,0,0,0,4230,24.93
