,,Hokkaido,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokkaido
2023/01/03,19:00,0,3247,579,11,223,0,358,0,69,0,-274,0,0,4212,23.98
2023/01/03,20:00,0,3278,500,12,223,0,361,0,51,0,-241,0,0,4183,23.52
2023/01/03,21:00,0,3191,454,11,223,0,354,0,72,0,-158,0,0,4147,22.48
2023/01/03,22:00,0,3002,400,11,223,0,343,0,18,0,-7,0,0,3990,21.58
2023/01/03,23:00,0,2860,399,11,223,0,337,0,4,276,0,0,0,4111,20.6
2023/01/04,00:00,0,2788,388,11,225,0,329,0,0,321,0,0,0,4061,21.25
2023/01/04,01:00,0,2845,389,10,225,0,344,0,0,373,0,0,0,4185,21.93
2023/01/04,02:00,0,2947,388,10,224,0,343,0,0,434,0,0,0,4345,24.1
2023/01/04,03:00,0,3062,398,10,211,0,349,0,0,431,0,0,0,4462,24.1
2023/01/04,04:00,0,3087,392,10,206,0,347,0,0,468,0,0,0,4511,24.3
2023/01/04,05:00,0,3001,449,11,206,0,323,0,0,454,0,0,0,4444,24.1
2023/01/04,06:00,0,3022,530,11,206,0,316,0,0,309,0,0,0,4394,21.84
2023/01/04,07:00,0,3100,581,12,209,66,281,0,36,0,-27,0,0,4257,24.87
2023/01/04,08:00,0,3048,519,11,208,371,285,0,30,0,-142,0,0,4330,22.46
2023/01/04,09:00,0,2504,408,11,219,653,295,0,0,219,0,0,0,4308,19.91
2023/01/04,10:00,0,2165,304,12,222,845,285,0,0,371,0,0,0,4205,18.54
2023/01/04,11:00,0,1980,287,12,224,885,291,0,0,390,0,0,0,4069,16.82
2023/01/04,12:00,0,2089,275,12,224,770,332,0,0,240,0,0,0,3942,13.01
2023/01/04,13:00,0,2018,284,12,224,623,330,0,0,427,0,0,0,3918,17.46
2023/01/04,14:00,0,2282,325,12,224,378,329,0,0,452,0,0,0,4002,19.97
2023/01/04,15:00,0,2770,444,12,224,80,306,0,0,444,0,0,0,4280,19.57
2023/01/04,16:00,0,2943,572,12,223,0,281,0,17,326,0,0,0,4375,21.66
2023/01/04,17:00,0,2986,615,12,219,0,294,0,59,390,0,0,0,4575,22.56
2023/01/04,18:00,0,2977,645,11,210,0,305,0,63,357,0,0,0,4568,23.02
2023/01/04,19:00,0,2923,631,12,208,0,307,0,61,305,0,0,0,4446,22.87
2023/01/04,20:00,0,2972,505,12,209,0,315,0,68,306,0,0,0,4386,21.83
2023/01/04,21:00,0,2922,453,12,206,0,321,0,64,303,0,0,0,4282,21.92
2023/01/04,22:00,0,2708,422,12,209,0,308,0,60,340,0,0,0,4058,21.71
2023/01/04,23:00,0,2780,413,12,209,0,321,0,8,435,0,0,0,4177,20.45
2023/01/05,00:00,0,2891,380,11,210,0,343,0,0,275,0,0,0,4111,20
2023/01/05,01:00,0,2950,390,10,210,0,368,0,0,304,0,0,0,4231,17.66
2023/01/05,02:00,0,2931,426,11,210,0,379,0,0,420,0,0,0,4377,13.48
2023/01/05,03:00,0,3080,496,11,211,0,390,0,0,293,0,0,0,4481,11.92
2023/01/05,04:00,0,3159,482,11,209,0,399,0,0,242,0,0,0,4502,13.37
2023/01/05,05:00,0,3132,527,11,208,0,396,0,31,155,0,0,0,4460,18.93
2023/01/05,06:00,0,3156,542,12,208,0,382,0,15,147,0,0,0,4461,21.83
2023/01/05,07:00,0,3243,573,11,208,69,374,0,0,0,-94,0,0,4384,25.16
2023/01/05,08:00,0,3003,525,12,207,415,371,0,0,0,-86,0,0,4446,22.7
2023/01/05,09:00,0,2771,397,12,205,713,388,0,0,0,-60,0,0,4426,20.53
2023/01/05,10:00,0,2798,318,12,205,836,392,0,0,0,-191,0,0,4370,19.44
2023/01/05,11:00,0,2683,305,12,210,823,392,0,0,0,-103,0,0,4323,17.7
2023/01/05,12:00,0,2737,289,12,216,715,407,0,0,0,-117,0,0,4259,13.2
2023/01/05,13:00,0,2798,301,12,221,594,406,0,0,0,-84,0,0,4247,18.81
2023/01/05,14:00,0,2942,352,12,219,336,405,0,0,22,0,0,0,4289,20
2023/01/05,15:00,0,3066,465,12,218,71,405,0,12,162,0,0,0,4411,20.87
2023/01/05,16:00,0,3052,637,12,211,0,407,0,84,113,0,0,0,4517,23.59
2023/01/05,17:00,0,3301,706,12,202,1,400,0,169,0,-208,0,0,4582,26.51
2023/01/05,18:00,0,3118,699,12,202,0,399,0,132,0,-38,0,0,4525,25.48
2023/01/05,19:00,0,3038,624,12,202,0,406,0,97,9,0,0,0,4387,24.26
2023/01/05,20:00,0,2852,478,11,202,0,396,0,56,311,0,0,0,4306,22.44
2023/01/05,21:00,0,2732,450,12,202,0,387,0,9,390,0,0,0,4182,21.62
2023/01/05,22:00,0,2696,411,12,201,0,364,-62,0,403,0,0,0,4025,21.86
2023/01/05,23:00,0,2772,412,12,202,0,347,0,0,406,0,0,0,4151,20.37
